NumRecords;ElapsedTime;MaxRSS;CPUTimeUser;CPUTimeSystem;Addresses
1;0.002646;7108;0.003706;0;0x7ffea82532b0
2;0.004609;11236;0.008922;0;0x7ffea82532b0
3;0.0089;14964;0.019112;0;0x7ffea82532b0
4;0.01261;18804;0.030232;0.003779;0x7ffea82532b0
5;0.017023;22580;0.052665;0.004051;0x7ffea82532b0
6;0.014817;26548;0.072924;0.004051;0x7ffea82532b0
7;0.023926;30900;0.097882;0.00783;0x7ffea82532b0
8;0.02711;33932;0.132954;0.012086;0x7ffea82532b0
9;0.026299;39052;0.170053;0.012086;0x7ffea82532b0
10;0.034556;42508;0.209681;0.015825;0x7ffea82532b0
11;0.033533;46092;0.249971;0.019838;0x7ffea82532b0
12;0.037503;49420;0.295349;0.023947;0x7ffea82532b0
13;0.042021;53004;0.348655;0.024045;0x7ffea82532b0
14;0.05215;58124;0.41778;0.024045;0x7ffea82532b0
15;0.055823;60584;0.482053;0.031871;0x7ffea82532b0
16;0.046228;64296;0.544255;0.032015;0x7ffea82532b0
17;0.056167;68648;0.634845;0.032015;0x7ffea82532b0
18;0.045432;72744;0.692588;0.039803;0x7ffea82532b0
19;0.057049;76968;0.763255;0.043957;0x7ffea82532b0
20;0.058634;80936;0.843584;0.043978;0x7ffea82532b0
21;0.060485;84904;0.924942;0.043978;0x7ffea82532b0
22;0.060872;88360;1.00667;0.047936;0x7ffea82532b0
23;0.071843;91816;1.10315;0.047963;0x7ffea82532b0
24;0.066277;95272;1.20683;0.051949;0x7ffea82532b0
25;0.06722;98728;1.29906;0.051962;0x7ffea82532b0
26;0.063216;102184;1.39187;0.051962;0x7ffea82532b0
27;0.082347;111784;1.49809;0.055928;0x7ffea82532b0
28;0.086062;112340;1.6062;0.067924;0x7ffea82532b0
29;0.099182;113496;1.73866;0.071944;0x7ffea82532b0
30;0.088744;130136;1.85018;0.079921;0x7ffea82532b0
31;0.101686;130136;1.96916;0.099856;0x7ffea82532b0
32;0.093477;131288;2.09734;0.099873;0x7ffea82532b0
33;0.09013;134744;2.21669;0.099873;0x7ffea82532b0
34;0.094747;138328;2.34466;0.103852;0x7ffea82532b0
35;0.107472;141656;2.49932;0.10797;0x7ffea82532b0
36;0.100796;145240;2.63884;0.10797;0x7ffea82532b0
37;0.112961;148696;2.79033;0.111933;0x7ffea82532b0
38;0.110688;152152;2.9414;0.111933;0x7ffea82532b0
39;0.124988;155736;3.12169;0.111933;0x7ffea82532b0
40;0.116021;159192;3.27801;0.115929;0x7ffea82532b0
41;0.14;162520;3.4629;0.115963;0x7ffea82532b0
42;0.12726;166104;3.63651;0.119884;0x7ffea82532b0
43;0.127508;169560;3.82301;0.119884;0x7ffea82532b0
44;0.129624;172760;3.98502;0.135898;0x7ffea82532b0
45;0.133475;176344;4.16785;0.135898;0x7ffea82532b0
46;0.201882;180056;4.43868;0.135898;0x7ffea82532b0
47;0.13708;183512;4.62454;0.139857;0x7ffea82532b0
48;0.134011;186840;4.8099;0.143817;0x7ffea82532b0
49;0.137598;190424;5.0007;0.143817;0x7ffea82532b0
50;0.137419;193880;5.18394;0.14777;0x7ffea82532b0
51;0.156521;197336;5.39738;0.151813;0x7ffea82532b0
52;0.151276;200792;5.60417;0.155782;0x7ffea82532b0
53;0.167551;219224;5.83904;0.159754;0x7ffea82532b0
54;0.19917;220112;6.10275;0.171739;0x7ffea82532b0
55;0.177562;220528;6.35056;0.171744;0x7ffea82532b0
56;0.173091;221420;6.57046;0.17175;0x7ffea82532b0
57;0.164253;221904;6.78594;0.17175;0x7ffea82532b0
58;0.215718;223756;7.04741;0.175785;0x7ffea82532b0
59;0.179076;227404;7.28319;0.179782;0x7ffea82532b0
60;0.203376;231048;7.51789;0.20772;0x7ffea82532b0
61;0.205642;234912;7.78035;0.215787;0x7ffea82532b0
62;0.175999;238604;8.00881;0.219802;0x7ffea82532b0
63;0.188797;242576;8.24716;0.227755;0x7ffea82532b0
64;0.194089;246248;8.49448;0.23174;0x7ffea82532b0
65;0.209536;249936;8.76807;0.239783;0x7ffea82532b0
66;0.181219;253848;8.99114;0.259744;0x7ffea82532b0
67;0.197992;257856;9.24073;0.267789;0x7ffea82532b0
68;0.194717;261508;9.49306;0.275798;0x7ffea82532b0
69;0.177989;265300;9.72755;0.279757;0x7ffea82532b0
70;0.214677;279868;10.0025;0.29572;0x7ffea82532b0
71;0.192826;283452;10.2611;0.295801;0x7ffea82532b0
72;0.211912;286908;10.5348;0.299737;0x7ffea82532b0
73;0.197336;290236;10.7976;0.299737;0x7ffea82532b0
74;0.256532;293820;11.1266;0.299748;0x7ffea82532b0
75;0.19234;297276;11.3993;0.303768;0x7ffea82532b0
76;0.193346;300732;11.6886;0.303807;0x7ffea82532b0
77;0.191159;304188;11.9525;0.303809;0x7ffea82532b0
78;0.196573;307772;12.2251;0.303828;0x7ffea82532b0
79;0.204317;311356;12.5024;0.307763;0x7ffea82532b0
80;0.205224;314812;12.7938;0.31175;0x7ffea82532b0
